OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
27821,NonResidential,1.0,1.0,47.70941,-122.31707,Commerce,44755.0,0.0,44755.0,46978.0,12049238.0,335.605,1.0,0.0,20
27825,NonResidential,1.0,2.0,47.61340332,-122.3203506,Commerce,22320.0,0.0,22320.0,22320.0,203027.45315000002,4.5649999999999995,1.0,0.0,109
27828,NonResidential,1.0,3.0,47.6139,-122.32034,Office,24000.0,0.0,24000.0,12000.0,975075.75,9.33,1.0,0.0,104
27829,NonResidential,1.0,2.0,47.613922,-122.316421,Office,21228.0,0.0,21228.0,21228.0,799996.0,5.58,1.0,0.0,95
27830,NonResidential,1.0,3.0,47.61393,-122.31589,Office,23422.0,0.0,23422.0,23422.0,2699974.5,127.495,1.0,0.0,96
27833,NonResidential,5.0,2.0,47.61674,-122.31111,Urgent Care/Clinic/Other Outpatient,38879.0,11328.0,27551.0,38879.0,3354796.375,28.335,0.71,0.29,41
27838,NonResidential,1.0,5.0,47.61554,-122.31098,Hotel/Senior Care,53034.0,14625.0,38409.0,22486.0,3345732.0,81.14500000000001,0.72,0.28,18
27869,NonResidential,1.0,2.0,47.61481,-122.31536,Non-Refrigerated Warehouse,23040.0,0.0,23040.0,23040.0,81267.89843999999,0.88,1.0,0.0,96
27874,NonResidential,1.0,2.0,47.61469,-122.31596,Non-Refrigerated Warehouse,61880.0,0.0,61880.0,61880.0,583622.75,4.065,1.0,0.0,58
27882,NonResidential,1.0,2.0,47.61556,-122.32048,Office,27938.0,0.0,27938.0,13914.0,1103812.6565,7.83,1.0,0.0,91
27891,NonResidential,1.0,2.0,47.66386,-122.31715,Office,21600.0,0.0,21600.0,32580.0,1677271.5,11.695,1.0,0.0,92
27892,Nonresidential COS,1.0,3.0,47.66506,-122.31656,Other,27908.0,0.0,27908.0,21886.0,1892396.8125,56.885,1.0,0.0,87
