OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,ENERGYSTARScore,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
26719,NonResidential,1.0,2.0,47.60026,-122.3299,Office,33640.0,0.0,33640.0,27322.0,1085975.875,7.57,70.0,1.0,0.0,111
26720,NonResidential,1.0,4.0,47.59986,-122.32987,Non-Refrigerated Warehouse,43484.0,0.0,43484.0,26416.0,1573818.875,10.969999999999999,18.0,1.0,0.0,110
26728,NonResidential,1.0,4.0,47.5985,-122.32677,Hotel/Senior Care/Housing,33018.0,0.0,33018.0,23193.0,4885050.75,175.14999999999998,49.0,1.0,0.0,91
26731,NonResidential,1.0,2.0,47.5962,-122.32548,Office,26510.0,0.0,26510.0,30800.0,981392.34375,11.225,91.0,1.0,0.0,46
26759,NonResidential,1.0,1.0,47.65429,-122.32618,Non-Refrigerated Warehouse,40028.0,0.0,40028.0,33222.0,952326.59375,6.82,80.0,1.0,0.0,78
26761,NonResidential,1.0,3.0,47.65373,-122.32721,Office,44510.0,18228.0,26282.0,26282.0,2248085.625,15.67,23.0,0.59,0.41,9
26773,NonResidential,1.0,1.0,47.71705,-122.28577,Loisirs,21624.0,0.0,21624.0,21624.0,650111.75,20.34,90.0,1.0,0.0,62
26808,SPS-District K-12,1.0,1.0,47.6763,-122.3285,Education,42239.0,0.0,42239.0,48134.5,2171223.25,70.13,83.0,1.0,0.0,46
26821,SPS-District K-12,1.0,3.0,47.66828,-122.3266,Education,50297.0,0.0,50297.0,51026.0,1369224.875,30.875,89.0,1.0,0.0,91
26838,NonResidential,1.0,5.0,47.59983,-122.32598,Hotel/Senior Care/Housing,40552.0,0.0,40552.0,40552.0,1181155.9375,52.325,99.0,1.0,0.0,106
26849,NonResidential,1.0,2.0,47.59935,-122.32468,Commerce,24550.0,0.0,24550.0,13500.0,579360.65625,6.445,100.0,1.0,0.0,99
26870,SPS-District K-12,1.0,2.0,47.65753,-122.32405,Education,61052.0,0.0,61052.0,61052.0,2277979.75,44.28,80.0,1.0,0.0,16
26906,NonResidential,1.0,3.0,47.6617,-122.31007,Hotel/Senior Care,22124.0,0.0,22124.0,22124.0,662317.0,4.62,82.0,1.0,0.0,87
26909,NonResidential,1.0,3.0,47.66289,-122.30863,Hotel/Senior Care,27487.0,0.0,27487.0,27487.0,1551998.4375,63.260000000000005,82.0,1.0,0.0,90
26911,NonResidential,1.0,4.0,47.66164,-122.30874,Hotel/Senior Care,23616.0,0.0,23616.0,23616.0,1758660.625,59.16,55.0,1.0,0.0,90
26922,NonResidential,1.0,3.0,47.66238,-122.30801,Hotel/Senior Care,33448.0,0.0,33448.0,33448.0,984375.75,6.859999999999999,78.0,1.0,0.0,40
26930,NonResidential,1.0,2.0,47.60133,-122.31088,Hotel/Senior Care,74840.0,0.0,74840.0,74840.0,8355639.25,255.695,48.0,1.0,0.0,29
26939,NonResidential,1.0,2.0,47.6032,-122.30596,Education,22344.0,0.0,22344.0,22344.0,1454463.875,52.665,40.0,1.0,0.0,91
26997,NonResidential,1.0,2.0,47.66272,-122.31798,Parking,32928.0,0.0,32928.0,24288.0,5536391.5,38.595,9.0,1.0,0.0,17
27007,NonResidential,1.0,2.0,47.66146,-122.2788,Loisirs,20039.0,0.0,20039.0,20039.0,113439.14845000001,0.79,100.0,1.0,0.0,62
27008,SPS-District K-12,1.0,2.0,47.6622,-122.27796,Education,54943.0,0.0,54943.0,57247.0,2065895.125,79.37,94.0,1.0,0.0,88
